condFile,numWords,condFiles,testFiles,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,correctFeed.started,correctFeed.stopped,incorrectFeed.started,incorrectFeed.stopped,fFeedback.started,fFeedback.stopped,jFeedback.started,jFeedback.stopped,circle.started,circle.stopped,xTrain.started,xTrain.stopped,train1Instructions.started,train1Instructions.stopped,skipTrain1Type.rt,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block11.xlsx,aoiConditions/train1P1Block11Test.xlsx,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,train1P1,pngimages/23_lemon.png,0.5,-0.5,0,0,0,0,0,10,10,10,,,,,0,0,0,0,,,,,,,,85.71041481057182,None,j,0.21168499207124114,85.71041481057182,None,86.45443181651645,None,86.45448943553492,None,86.45448943553492,None,f,0.1514072436839342,87.45321434503421,None,85.96696357103065,None,87.45321434503421,None,87.45321434503421,None,87.64573975652456,None,87.64573975652456,None,87.64573975652456,None,87.64573975652456,None,87.64573975652456,None,87.64573975652456,None,87.64573975652456,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block11.xlsx,aoiConditions/train1P1Block11Test.xlsx,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block12.xlsx,aoiConditions/train1P1Block12Test.xlsx,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,train1P1,pngimages/24_banana.png,-0.5,0.5,0,0,0,0,0,11,11,11,,,,,0,0,0,0,,,,,,,,88.64043965516612,None,j,0.1551211280748248,88.64043965516612,None,89.38626980413683,None,89.38678769394755,None,89.38678769394755,None,j,1.1190413981676102,90.38650262076408,None,88.90474807843566,None,90.38650262076408,None,90.38650262076408,None,91.59082516515628,None,91.59082516515628,None,91.59082516515628,None,91.59082516515628,None,91.59082516515628,None,91.59082516515628,None,91.59082516515628,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block12.xlsx,aoiConditions/train1P1Block12Test.xlsx,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block13.xlsx,aoiConditions/train1P1Block13Test.xlsx,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,train1P1,pngimages/22_egg.png,0.5,-0.5,0,0,0,0,0,12,12,12,,,,,0,0,0,0,,,,,,,,92.55796808702871,None,j,0.03188707306981087,92.55796808702871,None,93.15234341756441,None,93.15290435124189,None,93.15290435124189,None,j,0.0746084488928318,94.15167532581836,None,92.65824070060626,None,94.15167532581836,None,94.15167532581836,None,94.31109143514186,None,94.31109143514186,None,94.31109143514186,None,94.31109143514186,None,94.31109143514186,None,94.31109143514186,None,94.31109143514186,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block13.xlsx,aoiConditions/train1P1Block13Test.xlsx,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block14.xlsx,aoiConditions/train1P1Block14Test.xlsx,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,train1P1,pngimages/18_donut.png,0.5,-0.5,0,0,0,0,0,13,13,13,,,,,0,0,0,0,,,,,,,,95.27128271758556,None,j,0.346434504725039,95.27128271758556,None,96.15083347219043,None,96.15110140340403,None,96.15110140340403,None,j,0.055716950446367264,97.1509586777538,None,95.65764978667721,None,97.1509586777538,None,97.1509586777538,None,97.25658840686083,None,97.25658840686083,None,97.25658840686083,None,97.25658840686083,None,97.25658840686083,None,97.25658840686083,None,97.25658840686083,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block14.xlsx,aoiConditions/train1P1Block14Test.xlsx,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block1.xlsx,aoiConditions/train1P2Block1Test.xlsx,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,train1P2,pngimages/27_kiwi.png,0.5,-0.5,0,1,1,1,0,0,0,0,,,,,0,0,0,0,,,98.25691501423717,None,j,98.25691501423717,None,98.6331859510392,None,j,0.4431484192609787,98.6331859510392,None,99.63317175400444,None,99.63346724864095,None,99.63346724864095,None,j,5.352261708583683,100.63304171524942,None,99.14432080788538,None,100.63304171524942,None,100.63304171524942,None,106.06542455218732,None,106.06542455218732,None,106.06542455218732,None,106.06542455218732,None,106.06542455218732,None,106.06542455218732,None,106.06542455218732,None,0.34452696656808257,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block1.xlsx,aoiConditions/train1P2Block1Test.xlsx,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,train1P2,pngimages/04_ladder.png,0.5,-0.5,0,1,1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,107.54826554520987,None,107.54825029103085,None,107.54825029103085,None,j,0.13377271126955748,108.54776358930394,None,107.06286228913814,None,108.54776358930394,None,108.54776358930394,None,108.741943936795,None,108.741943936795,None,108.741943936795,None,108.741943936795,None,108.741943936795,None,108.741943936795,None,108.741943936795,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block1.xlsx,aoiConditions/train1P2Block1Test.xlsx,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.71816616598517,None,j,0.44527910789474845,109.71816616598517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
