train1QuestAdvance.keys,train1QuestAdvance.rt,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,participant,session,date,expName,psychopyVersion,OS,frameRate,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles,skipTrain2Instr.keys,train2QuestAdvance.keys,train2Response.keys,train2Response.rt,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,blocktest2.ran,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,train2blocks.ran,train2QuestAdvance.rt,skipTest1Instr.keys,skipTest1Instr.rt,test1Response.keys,test1Response.rt,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test1Loop.ran,firstAudio,secondAudio,imageLoc,whichAudio,skipTest2Instr.keys,skipTest2Instr.rt,test2Response.keys,test2Response.rt,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test2Loop.ran,skipTest3Instr.keys,skipTest3Instr.rt,test3Response.keys,test3Response.rt,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,test3Loop.ran,skipPostTestInstr.keys,skipPostTestInstr.rt,postTestResponse.keys,postTestResponse.rt,postTestLoop.thisRepN,postTestLoop.thisTrialN,postTestLoop.thisN,postTestLoop.thisIndex,postTestLoop.ran,audioA,audioX,audioB,correctLabel,quit.keys,quit.rt
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,11,11,11,1,aoiConditions/train1Block12.xlsx,aoiConditions/train1Block12Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.36261,j,0.28828,0,0,0,0,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,12,12,12,1,aoiConditions/train1Block13.xlsx,aoiConditions/train1Block13Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.37318,f,1.946365,0,0,0,0,1,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,13,13,13,1,aoiConditions/train1Block14.xlsx,aoiConditions/train1Block14Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.38668,f,0.262415,0,0,0,0,1,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,j,1.19018,0,1,1,1,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,14,14,14,1,aoiConditions/train1Block15.xlsx,aoiConditions/train1Block15Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,2.28825,f,0.134865,0,0,0,0,1,trainingaudio/94_kipipi1.wav,pngimages/94_house.png,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f,1.53254,0,1,1,1,1,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,15,15,15,1,aoiConditions/train1Block16.xlsx,aoiConditions/train1Block16Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.547915,j,0.675335,0,0,0,0,1,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f,0.3512,0,1,1,1,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,16,16,16,1,aoiConditions/train1Block17.xlsx,aoiConditions/train1Block17Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.95894,j,2.07482,0,0,0,0,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,j,1.6911,0,1,1,1,1,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,17,17,17,1,aoiConditions/train1Block18.xlsx,aoiConditions/train1Block18Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.726155,j,0.10017,0,0,0,0,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,j,0.303065,0,1,1,1,1,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,18,18,18,1,aoiConditions/train1Block19.xlsx,aoiConditions/train1Block19Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.965065,j,0.330765,0,0,0,0,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,trainingaudio/03_kikita3.wav,pngimages/03_box.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,j,0.44385,0,1,1,1,1,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,19,19,19,1,aoiConditions/train1Block20.xlsx,aoiConditions/train1Block20Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.51297,f,2.511225,0,0,0,0,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f,0.220375,0,1,1,1,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,j,1.4196,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,j,j,2.309485,0,0,0,0,1,,,,,,2.04906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,aoiConditions/train2Block2.xlsx,aoiConditions/train2Block2Test.xlsx,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
