condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,notice.started,notice.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,wavaudio/pakito1.wav,pngimages/25_apple.png,wavaudio/pakito1.wav,pngimages/03_box.png,0,1,1,1,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,35.33037060362986,37.32954883557977,35.32069832913112,35.32069832913112,35.32069832913112,35.32069832913112,None,,37.31284916831646,35.32069832913112,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,wavaudio/pakito1.wav,pngimages/11_compass.png,wavaudio/pakito1.wav,pngimages/19_burger.png,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,42.34491012807703,None,42.335812154749874,42.335812154749874,42.335812154749874,42.335812154749874,f,-0.3872149449889548,44.32752990821609,42.335812154749874,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,wavaudio/pakito1.wav,pngimages/15_barrel.png,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,44.37751246394473,None,44.37532679660944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,wavaudio/pakito1.wav,pngimages/05_megaphone.png,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,44.876953492540636,45.3767453696928,44.881880853441544,44.881880853441544,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,wavaudio/pakito1.wav,pngimages/04_ladder.png,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,45.39340622160235,None,45.394150358915795,45.394150358915795,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,wavaudio/pakito1.wav,pngimages/14_coffee.png,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,45.90987563980744,45.900699884747155,45.900699884747155,45.900699884747155,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,wavaudio/pakito1.wav,pngimages/02_pallet.png,,,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,46.40976380017237,46.90955567738274,46.41422069474356,46.41422069474356,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,wavaudio/pakito1.wav,pngimages/22_egg.png,,,,,0,2,2,2,0,5,5,5,,,,,,,,,,,,,,,,,,,46.99285993693047,None,46.9862390482449,46.9862390482449,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,wavaudio/pakito1.wav,pngimages/15_barrel.png,wavaudio/pakito1.wav,pngimages/14_coffee.png,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,47.52609713805723,49.526265312801115,47.52800029900391,None,47.52800029900391,None,j,0.44987758807837963,49.526265312801115,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
