condFile,numWords,condFiles,testFiles,firstAudio,secondAudio,imageLoc,whichAudio,currentPhase,feedback,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.started,train1QuestAdvance.stopped,train1QuestAdvance.rt,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,test1Instr.started,test1Instr.stopped,test1Correct.started,test1Correct.stopped,text_2.started,text_2.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block11.xlsx,aoiConditions/train1P1Block11Test.xlsx,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,73.7139478335157,None,h,73.7139478335157,None,0.2889523645862937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block12.xlsx,aoiConditions/train1P1Block12Test.xlsx,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,74.04646584391594,None,h,74.04646584391594,None,0.14176458586007357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block13.xlsx,aoiConditions/train1P1Block13Test.xlsx,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,74.22358180675656,None,h,74.22358180675656,None,0.15389285748824477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block14.xlsx,aoiConditions/train1P1Block14Test.xlsx,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,74.43018720438704,None,h,74.43018720438704,None,0.12503360444679856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block1.xlsx,aoiConditions/train1P2Block1Test.xlsx,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,74.61103215487674,None,h,0.1284873359836638,74.61103215487674,None,74.79610714223236,None,h,74.79610714223236,None,1.357951472979039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block2.xlsx,aoiConditions/train1P2Block2Test.xlsx,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,76.1989877060987,None,h,76.1989877060987,None,0.13840487226843834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block3.xlsx,aoiConditions/train1P2Block3Test.xlsx,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,76.38308362662792,None,h,76.38308362662792,None,0.15959621546790004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block4.xlsx,aoiConditions/train1P2Block4Test.xlsx,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,76.59890010720119,None,h,76.59890010720119,None,0.15609415341168642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block5.xlsx,aoiConditions/train1P2Block5Test.xlsx,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,76.79820800153539,None,h,76.79820800153539,None,0.2986546796746552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block6.xlsx,aoiConditions/train1P2Block6Test.xlsx,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,77.15045120893046,None,h,77.15045120893046,None,0.15076611144468188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block7.xlsx,aoiConditions/train1P2Block7Test.xlsx,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,77.34866638481617,None,h,77.34866638481617,None,0.17146395612508059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P2LoopCondition.xlsx,four,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,7.871146788354963,77.55294550722465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.55294550722465,None,None,None,None,None,85.44742112327367,None,h,17.123086420353502,85.44742112327367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
,,,,trainingaudio/14_pokoto1.wav,trainingaudio/14_pokoto3.wav,pngimages/14_coffee.png,1,test1,trainingaudio/14_pokoto1.wav,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.14458870096132,None,103.14491360960528,104.14552982104942,104.14552982104942,None,105.1463255728595,None,103.14491360960528,105.1464473423548,105.1464473423548,106.14734938275069,106.14734938275069,None,f,1.2819614564068615,106.14734938275069,None,102.68504515849054,None,106.14734938275069,None,106.14734938275069,None,102.68504515849054,None,107.9477671761997,None,107.45359872234985,None,107.94803506974131,108.94848061492667,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
