condFile,numWords,condFiles,testFiles,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,alltrian1.thisRepN,alltrian1.thisTrialN,alltrian1.thisN,alltrian1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,alltrain2.thisRepN,alltrain2.thisTrialN,alltrain2.thisN,alltrain2.thisIndex,trial2phases.thisRepN,trial2phases.thisTrialN,trial2phases.thisN,trial2phases.thisIndex,train2Words.thisRepN,train2Words.thisTrialN,train2Words.thisN,train2Words.thisIndex,train2Questions.thisRepN,train2Questions.thisTrialN,train2Questions.thisN,train2Questions.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,train2Type.started,train2Type.stopped,skipTrain2Type.keys,skipTrain2Type.rt,skipTrain2Type.started,skipTrain2Type.stopped,train2QuestText.started,train2QuestText.stopped,train2QuestAdvance.keys,train2QuestAdvance.rt,train2QuestAdvance.started,train2QuestAdvance.stopped,participant,session,date,expName,psychopyVersion,frameRate
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block11.xlsx,aoiConditions/train1P1Block11Test.xlsx,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,0.5,-0.5,0,0,0,0,0,10,10,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,64.01848447,None,j,0.267593753,64.01848447,None,64.85220753,None,64.86070744,None,64.86070744,None,j,-1.022325973,65.84605051,None,64.86070744,None,65.84605051,None,65.84605051,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block11.xlsx,aoiConditions/train1P1Block11Test.xlsx,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block12.xlsx,aoiConditions/train1P1Block12Test.xlsx,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,-0.5,0.5,0,0,0,0,0,11,11,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,65.87174072,None,j,1.116510474,65.87174072,None,67.61414248,None,67.61452062,None,67.61452062,None,j,0.009234115,68.61513004,None,67.61452062,None,68.61513004,None,68.61513004,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block12.xlsx,aoiConditions/train1P1Block12Test.xlsx,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block13.xlsx,aoiConditions/train1P1Block13Test.xlsx,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,0.5,-0.5,0,0,0,0,0,12,12,12,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,68.6567806,None,j,0.384562988,68.6567806,None,69.61557275,None,69.61658826,None,69.61658826,None,j,4.902606063,70.61690089,None,69.61658826,None,70.61690089,None,70.61690089,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block13.xlsx,aoiConditions/train1P1Block13Test.xlsx,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block14.xlsx,aoiConditions/train1P1Block14Test.xlsx,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,trainingaudio/18_popata2.wav,pngimages/18_donut.png,0.5,-0.5,0,0,0,0,0,13,13,13,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,75.55050709,None,j,0.443248101,75.55050709,None,76.52165898,None,76.52147604,None,76.52147604,None,j,-0.132447025,77.52264843,None,76.52147604,None,77.52264843,None,77.52264843,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block14.xlsx,aoiConditions/train1P1Block14Test.xlsx,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P2LoopCondition.xlsx,four,aoiConditions/train1P2Block1.xlsx,aoiConditions/train1P2Block1Test.xlsx,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,-0.5,0.5,0,1,1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,77.55507884,None,j,1.140251242,77.55507884,None,78.74119293,None,j,0.384525985,78.74119293,None,79.69575316,None,79.70764979,None,79.70764979,None,j,-0.344093504,80.69226375,None,79.70764979,None,80.69226375,None,80.69226375,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
