condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,firstAudio,secondAudio,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,postTestLoop.thisRepN,postTestLoop.thisTrialN,postTestLoop.thisN,postTestLoop.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,train2Response.keys,train2Response.rt,train2Response.started,train2Response.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,threeWarningTest1.started,threeWarningTest1.stopped,fourWarningTest1.started,fourWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,test2Instr.started,test2Instr.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test3Instr.started,test3Instr.stopped,skipTest3Instr.keys,skipTest3Instr.rt,skipTest3Instr.started,skipTest3Instr.stopped,postTestText.started,postTestText.stopped,text.started,text.stopped,quit.keys,quit.rt,quit.started,quit.stopped,participant,session,date,expName,psychopyVersion,frameRate
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63929626,None,36.64551434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67271027,None,37.67268052,37.67268052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69031649,None,38.68492886,38.68492886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.70763574,None,39.71052016,39.71052016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,,,,,,,,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74183587,None,40.74520133,40.74520133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,,,,,,,,,,0,2,2,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.77600089,None,41.7754716,41.7754716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,,,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,0.5,-0.5,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.79352706,None,42.8004127,None,42.8004127,None,j,2.490141744,43.79522058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,,,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,-0.5,0.5,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3472562,None,46.35239424,None,46.35239424,None,f,1.853593814,47.34809775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,,,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,-0.5,0.5,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.24993045,None,49.25395252,None,49.25395252,None,j,-0.320326305,50.25073439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
