condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.started,train1TestAnswer.stopped,train1TestAnswer.rt,notice.started,notice.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,trainaudio/01_kitipi.wav,pngimages/01_gift.png,,,,,,,0,6,6,6,0,2,2,2,,,,,,,,,,,,,,,,,,,121.95488511921431,None,121.95777327114774,121.95777327114774,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,trainaudio/26_kapako.wav,pngimages/26_pineapple.png,,,,,,,0,6,6,6,0,3,3,3,,,,,,,,,,,,,,,,,,,123.48934025715863,None,123.4809070694755,123.4809070694755,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,trainaudio/19_papipi.wav,pngimages/19_burger.png,,,,,,,0,6,6,6,0,4,4,4,,,,,,,,,,,,,,,,,,,124.99043660025055,None,124.99065450202033,124.99065450202033,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,trainaudio/06_titoka.wav,pngimages/06_tent.png,,,,,,,0,6,6,6,0,5,5,5,,,,,,,,,,,,,,,,,,,126.49180438605836,None,126.49449090992857,126.49449090992857,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,,,trainaudio/16_kotapi.wav,pngimages/16_icecream.png,trainaudio/26_kapako.wav,pngimages/26_pineapple.png,-0.5,0.5,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,128.04310260262284,None,128.03697382724204,None,128.03697382724204,None,j,130.0287274664588,None,0.5020024988334626,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,,,trainaudio/01_kitipi.wav,pngimages/01_gift.png,trainaudio/06_titoka.wav,pngimages/06_tent.png,-0.5,0.5,0,6,6,6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,130.5791405962984,None,130.5689981389005,None,130.5689981389005,None,j,132.56414849340217,None,-0.056400727815344,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,,,trainaudio/19_papipi.wav,pngimages/19_burger.png,trainaudio/03_kikita.wav,pngimages/03_box.png,0.5,-0.5,0,6,6,6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,132.59756807873492,None,132.59847245983838,None,132.59847245983838,None,j,134.5993307005847,None,-0.6059496888919966,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,trainaudio/11_tokiko.wav,pngimages/11_compass.png,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,134.63275028591744,None,134.6353216854768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,trainaudio/22_kakoki.wav,pngimages/22_egg.png,,,,,,,0,7,7,7,0,1,1,1,,,,,,,,,,,,,,,,,,,136.18307362708148,None,136.17417492026289,136.17417492026289,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,trainaudio/13_kopopi.wav,pngimages/13_toast.png,,,,,,,0,7,7,7,0,2,2,2,,,,,,,,,,,,,,,,,,,137.68438787195774,None,137.68879578589986,137.68879578589986,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,trainaudio/09_tipata.wav,pngimages/09_plane.png,,,,,,,0,7,7,7,0,3,3,3,,,,,,,,,,,,,,,,,,,139.21903482086492,None,139.22132190220873,139.22132190220873,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,trainaudio/10_tokiti.wav,pngimages/100_bicycle.png,,,,,,,0,7,7,7,0,4,4,4,,,,,,,,,,,,,,,,,,,140.7534858431871,None,140.7530418838869,140.7530418838869,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,trainaudio/25_tapapi.wav,pngimages/25_apple.png,,,,,,,0,7,7,7,0,5,5,5,,,,,,,,,,,,,,,,,,,142.2547468114266,None,142.26040829303383,142.26040829303383,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
