firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio2.started,test1Audio2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test2Instr.started,test2Instr.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,participant,session,date,expName,psychopyVersion,frameRate,
trainingaudio/04_kitoti2.wav,trainingaudio/04_kitoti3.wav,pngimages/04_ladder.png,1,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,95.33579536029137,96.3377307630144,96.33753766830777,97.33904474368319,j,0.05448941478971392,97.33904474368319,None,95.34263175958768,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/13_kopopi2.wav,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,2,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,97.4382069299696,98.43841414619237,98.42162827100837,99.4231629098067,f,0.1641697889426723,99.4231629098067,None,97.43335267796647,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/07_pitapi1.wav,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,2,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,99.65691831526347,100.65832314174622,100.6414103994728,101.6408000026131,j,0.21329982427414507,101.6408000026131,None,99.65119328687433,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/10_tokiti1.wav,trainingaudio/10_tokiti2.wav,pngimages/10_backpack.png,1,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,101.8920475101564,102.89341314369813,102.89210580860963,103.89375296630897,f,0.13827644265256822,103.89375296630897,None,101.89480226289015,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/08_tipako1.wav,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,2,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,104.07908735740929,105.07873311126605,105.06209940103581,106.06262552191038,j,0.5399927730904892,106.06262552191038,None,104.07385665748734,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/14_pokoto1.wav,trainingaudio/14_pokoto2.wav,pngimages/14_coffee.png,1,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,106.62939314102987,107.62929210043512,107.63002105756895,108.63080808671657,f,0.5038103548577055,108.63080808671657,None,106.63851073139813,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/02_pitito3.wav,trainingaudio/02_pitito1.wav,pngimages/02_pallet.png,1,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,109.18163863187655,110.18240768811665,110.18143451180076,111.1826032748213,None,,111.16642319003586,119.1722666277783,109.18283510941546,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/09_tipata2.wav,trainingaudio/09_tipata3.wav,pngimages/09_plane.png,1,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,119.22234695804072,120.22399139718618,120.22280828597722,121.22474127227906,None,,121.20816095196642,129.2148146777181,119.22443052346352,119.22443052346352,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/05_titopo2.wav,trainingaudio/05_titopo3.wav,pngimages/05_megaphone.png,1,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,129.24820156455974,130.24912278575357,130.24841504859506,131.24975145747885,j,0.13491333206184208,131.24975145747885,None,129.24980318604503,129.24980318604503,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/27_pakapa2.wav,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,2,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,131.43246770454573,132.43430871213786,132.41669593543048,133.41867913980968,f,0.11786858760751784,133.41867913980968,None,131.42633081111126,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/17_kotako1.wav,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,2,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,,,133.56834764292,134.57130553398747,134.554355033685,135.55329040740617,j,0.19438039208762348,135.55329040740617,None,133.56194870860782,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/22_kakoki1.wav,trainingaudio/22_kakoki2.wav,pngimages/22_egg.png,1,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,,,135.8202151378384,136.82128580543213,136.8205663632951,137.8223211314762,f,0.20444367080926895,137.8223211314762,None,135.8241259668721,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/24_takopa3.wav,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,2,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,,,138.12322834442602,139.1231018549297,139.12376435789048,140.14125026750844,j,0.14167391299270093,140.12371315795463,None,138.13029778643977,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/23_patoko2.wav,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,2,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,,,140.29010410270422,141.2915194259258,141.29107939348324,142.29224173759576,f,0.1445725994417444,142.29224173759576,None,140.297201636713,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/15_kopota3.wav,trainingaudio/15_kopota2.wav,pngimages/15_barrel.png,1,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,,,142.52695038315142,143.52572060318198,143.51011617773912,144.51132307644002,j,0.1815177306998521,144.51132307644002,None,142.52610120445024,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/06_titoka2.wav,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,2,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,,,144.72799854704647,145.72874985693488,145.69561964938185,146.69487823208328,j,0.20342004974372685,146.69487823208328,None,144.72010326071177,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/18_popata2.wav,trainingaudio/18_popata3.wav,pngimages/18_donut.png,1,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,,,146.92968021556737,147.93101148935966,147.93046762224986,148.9318716180278,f,0.36786849319469184,148.9318716180278,None,146.93136339448392,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/21_papika1.wav,trainingaudio/21_papika2.wav,pngimages/21_cheese.png,1,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,,,149.36560180111556,150.3656864546938,150.34842671583175,151.35001346073113,j,0.2197179397335276,151.35001346073113,None,149.3614651033422,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/01_kitipi1.wav,trainingaudio/01_kitipi2.wav,pngimages/01_gift.png,1,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,,,151.61678066444586,152.61794995621312,152.6167305973475,153.6185367164435,f,0.2261149106780067,153.6185367164435,None,151.61909100483172,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.87030483211856,None,escape,5.781333244754933,153.87030483211856,None,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
