firstAudio,secondAudio,imageLoc,whichAudio,currentPhase,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,instructions.started,instructions.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Text.started,test2Text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,test2Audio1.started,test2Audio1.stopped,test2Audio1Sound.started,test2Audio1Sound.stopped,test1Audio2Mute.started,test1Audio2Mute.stopped,test2Audio2.started,test2Audio2.stopped,test2Audio2Mute1.started,test2Audio2Mute1.stopped,test2Audio2Sound.started,test2Audio2Sound.stopped,test2Audio2Mute2.started,test2Audio2Mute2.stopped,test2Response.keys,test2Response.rt,test2Response.started,test2Response.stopped,test2Image.started,test2Image.stopped,test2F.started,test2F.stopped,test2J.started,test2J.stopped,test2Instr.started,test2Instr.stopped,skipTest3Instr.keys,skipTest3Instr.started,skipTest3Instr.stopped,test3warning3.started,test3warning3.stopped,test3warning2.started,test3warning2.stopped,test3warning1.started,test3warning1.stopped,test3Audio1.started,test3Audio1.stopped,test3Audio1Sound.started,test3Audio1Sound.stopped,test3Audio1Mute.started,test3Audio1Mute.stopped,test3Audio2.started,test3Audio2.stopped,test3Audio2Mute1.started,test3Audio2Mute1.stopped,test3Audio2Sound.started,test3Audio2Sound.stopped,test3Audio2Mute2.started,test3Audio2Mute2.stopped,test3Response.keys,test3Response.rt,test3Response.started,test3Response.stopped,test3Image.started,test3Image.stopped,test3F.started,test3F.stopped,test3J.started,test3J.stopped,test3Instr.started,test3Instr.stopped,participant,ID Number,date,expName,psychopyVersion,frameRate,
novelaudio/41_pototo1.wav,novelaudio/41_pototo2.wav,pngimages/41_piano.png,1,test2,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.76402455191128,None,107.76645708375145,108.76547914731782,108.76547914731782,None,109.76758854482323,None,107.76645708375145,109.76638496562373,109.76638496562373,110.76706876594108,110.76706876594108,None,f,0.056620251853019,110.76706876594108,None,107.27846568950918,None,110.76706876594108,None,110.76706876594108,None,107.27846568950918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/50_katoko2.wav,novelaudio/50_katoko1.wav,pngimages/50_ruler.png,2,test2,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.43566560461186,None,111.43604333733674,112.45153928699438,112.43627668276895,None,113.4355160822859,None,111.43604333733674,113.43823708652053,113.43823708652053,114.43659120821394,114.43659120821394,None,j,0.006298816646449268,114.43659120821394,None,110.95296201459132,None,114.43659120821394,None,114.43659120821394,None,110.95296201459132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/72_topata2.wav,novelaudio/72_topata3.wav,pngimages/72_nose.png,1,test2,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.05321242667269,None,115.05528927664272,116.05738447699696,116.05738447699696,None,117.05515093072317,None,115.05528927664272,117.05668179760687,117.05668179760687,118.05843755218666,118.05843755218666,None,f,0.20688225561752915,118.05843755218666,None,114.5663086186396,None,118.05843755218666,None,118.05843755218666,None,114.5663086186396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/64_popiti3.wav,novelaudio/64_popiti1.wav,pngimages/64_shovel.png,2,test2,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.89055101999547,None,118.8904869821854,119.89336075587198,119.89336075587198,None,120.8916599772172,None,118.8904869821854,120.89377949386835,120.89377949386835,121.9108756344067,121.89599325484596,None,j,0.41592314548324794,121.89599325484596,None,118.41061623592395,None,121.89599325484596,None,121.89599325484596,None,118.41061623592395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/61_pikati2.wav,novelaudio/61_pikati1.wav,pngimages/61_key.png,1,test2,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.87729261892382,None,122.87704281101469,123.8777500212891,123.8777500212891,None,124.87836079737171,None,122.87704281101469,124.88111804937944,124.88111804937944,125.8961367359152,125.88087790750433,None,f,0.09569579607341439,125.88087790750433,None,122.3873862818582,None,125.88087790750433,None,125.88087790750433,None,122.3873862818582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/48_pakipa1.wav,novelaudio/48_pakipa3.wav,pngimages/48_brush.png,1,test2,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.5650986961089,None,126.5641733945813,127.56485946034081,127.5475571602583,None,128.5669424271444,None,126.5641733945813,128.5671260828385,128.5671260828385,129.56829922890756,129.56829922890756,None,f,0.27492019813507795,129.56829922890756,None,126.08188914658967,None,129.56829922890756,None,129.56829922890756,None,126.08188914658967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/57_tipipa3.wav,novelaudio/57_tipipa1.wav,pngimages/57_flashlight.png,1,test2,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.43395515992307,None,130.4353010118939,131.44376186083537,131.44376186083537,None,132.43691615499557,None,130.4353010118939,132.43482676928397,132.43482676928397,133.43697747425176,133.43697747425176,None,f,0.027347859111614525,133.43697747425176,None,129.95262785477098,None,133.43697747425176,None,133.43697747425176,None,129.95262785477098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/32_kipoto1.wav,novelaudio/32_kipoto2.wav,pngimages/32_greenpepper.png,2,test2,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0542360504158,None,134.05316726793535,135.0560289589921,135.0560289589921,None,136.0553408542881,None,134.05316726793535,136.06574149103835,136.06574149103835,137.07429446990136,137.0577091971645,None,j,0.24632065591868013,137.0577091971645,None,133.5705930372933,None,137.0577091971645,None,137.0577091971645,None,133.5705930372933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/54_kapapa1.wav,novelaudio/54_kapapa2.wav,pngimages/54_toiletpaper.png,1,test2,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.88939939597623,None,137.89648373343516,138.89872165967245,138.89872165967245,None,139.89155727503822,None,137.89648373343516,139.89099973801058,139.8826495204121,140.89214229991194,140.89214229991194,None,f,0.476378493825905,140.89214229991194,None,137.42476459674072,None,140.89214229991194,None,140.89214229991194,None,137.42476459674072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/79_katapi1.wav,novelaudio/79_katapi2.wav,pngimages/79_pig.png,1,test2,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.9592621904565,None,141.9655974059133,142.97723107319325,142.9628097207751,None,143.96282165236772,None,141.9655974059133,143.97766415926162,143.96331870078575,144.9621893541189,144.9621893541189,None,f,0.22945710562635213,144.9621893541189,None,141.4668011360336,None,144.9621893541189,None,144.9621893541189,None,141.4668011360336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
