condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,firstAudio,secondAudio,whichAudio,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.23593253542786,None,40.2322249202407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,41.25258165089181,41.24506908026524,41.24506908026524,41.24506908026524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,42.2702203296125,42.265802032197826,42.265802032197826,42.265802032197826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,43.304499288433,43.293805676628835,43.293805676628835,43.293805676628835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,,,,,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,44.35523396591889,44.34938365628477,44.34938365628477,44.34938365628477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,,,,,,,0,2,2,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,45.42284914033371,45.41375511104707,45.41375511104707,45.41375511104707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,0.5,-0.5,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,46.457094721024625,47.458987759193406,46.45964550465578,None,46.45964550465578,None,j,0.815441990213003,47.458987759193406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,0.5,-0.5,0,2,2,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,48.342685829161205,49.34351718612015,48.344953880412504,None,48.344953880412504,None,j,0.3987912134034559,49.34351718612015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,-0.5,0.5,0,2,2,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,49.79407334350399,50.79482457792619,49.78563162253704,None,49.78563162253704,None,j,0.30248965334612876,50.77792180381948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
